# Copyright (C) 1991-2011 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 11.0 Build 208 07/03/2011 Service Pack 1 SJ Full Version
# File: E:/Project/AX415/verilog/sdram_ov7670_rgb_vga_640480/sdram_ov7670_rgb_vga_640480/sdram_ov7670_vga.csv
# Generated on: Wed Mar 25 17:37:55 2015

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,I/O Bank,VREF Group
S_A[2],Output,PIN_G15,,,,,,6,B6_N1
S_A[1],Output,PIN_F16,,,,,,6,B6_N1
S_A[0],Output,PIN_F15,,,,,,6,B6_N1
S_BA[1],Output,PIN_D15,,,,,,6,B6_N0
S_BA[0],Output,PIN_C16,,,,,,6,B6_N0
S_CKE,Output,PIN_B4,,,,,,8,B8_N1
S_CLK,Output,PIN_A3,,,,,,8,B8_N1
S_DB[15],Bidir,PIN_G1,,,,,,1,B1_N1
S_DB[14],Bidir,PIN_G2,,,,,,1,B1_N1
S_DB[13],Bidir,PIN_F1,,,,,,1,B1_N1
S_DB[12],Bidir,PIN_F2,,,,,,1,B1_N1
S_DB[11],Bidir,PIN_D1,,,,,,1,B1_N0
S_DB[10],Bidir,PIN_C2,,,,,,1,B1_N0
S_DB[9],Bidir,PIN_B1,,,,,,1,B1_N0
S_DB[8],Bidir,PIN_A2,,,,,,8,B8_N1
S_DB[7],Bidir,PIN_B13,,,,,,7,B7_N0
S_DB[6],Bidir,PIN_A13,,,,,,7,B7_N1
S_DB[5],Bidir,PIN_B12,,,,,,7,B7_N0
S_DB[4],Bidir,PIN_A12,,,,,,7,B7_N0
S_DB[3],Bidir,PIN_B11,,,,,,7,B7_N1
S_DB[2],Bidir,PIN_A11,,,,,,7,B7_N1
S_DB[1],Bidir,PIN_B10,,,,,,7,B7_N1
S_DB[0],Bidir,PIN_A10,,,,,,7,B7_N1
S_DQM[1],Output,PIN_B3,,,,,,8,B8_N1
S_DQM[0],Output,PIN_A14,,,,,,7,B7_N0
S_NCAS,Output,PIN_A15,,,,,,7,B7_N1
S_NCS,Output,PIN_C15,,,,,,6,B6_N0
S_NRAS,Output,PIN_B16,,,,,,6,B6_N1
S_NWE,Output,PIN_B14,,,,,,7,B7_N0
VGAD[15],Output,PIN_L1,,,,,,2,B2_N0
VGAD[14],Output,PIN_L2,,,,,,2,B2_N0
VGAD[13],Output,PIN_N1,,,,,,2,B2_N1
VGAD[12],Output,PIN_N2,,,,,,2,B2_N1
VGAD[11],Output,PIN_P1,,,,,,2,B2_N1
VGAD[10],Output,PIN_P2,,,,,,2,B2_N1
VGAD[9],Output,PIN_R1,,,,,,2,B2_N1
VGAD[8],Output,PIN_T2,,,,,,3,B3_N1
VGAD[7],Output,PIN_R3,,,,,,3,B3_N1
VGAD[6],Output,PIN_T3,,,,,,3,B3_N1
VGAD[5],Output,PIN_L3,,,,,,2,B2_N0
VGAD[4],Output,PIN_L4,,,,,,2,B2_N1
VGAD[3],Output,PIN_K5,,,,,,2,B2_N1
VGAD[2],Output,PIN_N3,,,,,,3,B3_N1
VGAD[1],Output,PIN_P3,,,,,,3,B3_N1
VGAD[0],Output,PIN_L6,,,,,,2,B2_N0
VGA_HSYNC,Output,PIN_L8,,,,,,3,B3_N0
VGA_VSYNC,Output,PIN_K6,,,,,,2,B2_N0
RESET,Unknown,PIN_M1,,,,,,2,B2_N0
DATA0,Unknown,PIN_H2,,,,,,1,B1_N1
DCLK,Unknown,PIN_H1,,,,,,1,B1_N1
SCE,Unknown,PIN_D2,,,,,,1,B1_N0
SDO,Unknown,PIN_C1,,,,,,1,B1_N0
SD_DOUT,Unknown,PIN_K9,,,,,,4,B4_N1
SD_CLK,Unknown,PIN_K10,,,,,,4,B4_N1
SD_DI,Unknown,PIN_L10,,,,,,4,B4_N1
SD_NCS,Unknown,PIN_J12,,,,,,5,B5_N0
lcd_ud,Unknown,PIN_G5,,,,,,1,B1_N1
lcd_pwm,Unknown,PIN_F14,,,,,,6,B6_N0
lcd_out_vs,Unknown,PIN_G11,,,,,,6,B6_N0
lcd_out_rgb_r[5],Unknown,PIN_D8,,,,,,8,B8_N0
lcd_out_rgb_r[4],Unknown,PIN_F9,,,,,,7,B7_N1
lcd_out_rgb_r[3],Unknown,PIN_D6,,,,,,8,B8_N1
lcd_out_rgb_r[2],Unknown,PIN_D5,,,,,,8,B8_N1
lcd_out_rgb_r[1],Unknown,PIN_E6,,,,,,8,B8_N1
lcd_out_rgb_r[0],Unknown,PIN_D3,,,,,,8,B8_N1
lcd_out_rgb_g[5],Unknown,PIN_D9,,,,,,7,B7_N1
lcd_out_rgb_g[4],Unknown,PIN_F9,,,,,,7,B7_N1
lcd_out_rgb_g[3],Unknown,PIN_E9,,,,,,7,B7_N1
lcd_out_rgb_g[2],Unknown,PIN_E8,,,,,,8,B8_N0
lcd_out_rgb_g[1],Unknown,PIN_F8,,,,,,8,B8_N0
lcd_out_rgb_g[0],Unknown,PIN_E7,,,,,,8,B8_N0
lcd_out_rgb_b[5],Unknown,PIN_D8,,,,,,8,B8_N0
lcd_out_rgb_b[4],Unknown,PIN_C6,,,,,,8,B8_N0
lcd_out_rgb_b[3],Unknown,PIN_D6,,,,,,8,B8_N1
lcd_out_rgb_b[2],Unknown,PIN_D5,,,,,,8,B8_N1
lcd_out_rgb_b[1],Unknown,PIN_E6,,,,,,8,B8_N1
lcd_out_rgb_b[0],Unknown,PIN_D3,,,,,,8,B8_N1
lcd_out_hs,Unknown,PIN_C14,,,,,,7,B7_N0
lcd_out_de,Unknown,PIN_D14,,,,,,7,B7_N0
lcd_out_clk,Unknown,PIN_C3,,,,,,8,B8_N1
lcd_mode,Unknown,PIN_F13,,,,,,6,B6_N1
lcd_lr,Unknown,PIN_F3,,,,,,1,B1_N0
